id;nombre;categoria;subcategoria;municipio;latitud;longitud;calle;numero;piso;oficina;departamento;entre_calle_1;entre_calle_2;codigo_postal;otra_info_dire;referente_1;mail_referente_1;tel_referente_1;referente_2;mail_referente_2;tel_referente_2;referente_3;mail_referente_3;tel_referente_3;referente_4;mail_referente_4;tel_referente_4;referente_5;mail_referente_5;tel_referente_5;tipo_contacto_1;contacto_1;tipo_contacto_2;contacto_2;tipo_contacto_3;contacto_3;telefono_1;telefono_2;telefono_3;telefono_4;telefono_5;telefono_6;telefono_7;telefono_8;telefono_9;telefono_10;telefono_11;horario_lunes;horario_martes;horario_miercoles;horario_jueves;horario_viernes;horario_sabado;horario_domingo;guardia
1;Hospital Local General San Martín;Salud;Hospitales;Adolfo Alsina;-371.770.694;-6.274.927.723;Avellaneda;579;;;;;;;;;;;;;;;;;;;;;;;Mail;hospcarhue@invertel.com.ar;;;;;(2936) 432222;;;;;;;;;;;;;;;;;;24 horas
2;Secretaría de Desarrollo Social;Desarrollo y Acción Social;Oficinas Gubernamentales;Veinticinco de Mayo;-3.543.252;-601.758.267;Calle 13;;;;;Calle 27;;;;;;;;;;;;;;;;;;;;;;;;;(2345) 462149;;;;;;;;;;;;;;;;;;
3;Servicio de Protección del Niño/a;Niñez y Adolescencia;Oficinas Gubernamentales;Veinticinco de Mayo;-3.543.252;-601.758.267;Calle 13;;;;;Calle 27;;;;Mariángeles  Lavítola;;;Carolina  Burgos;;;;;;;;;;;;Mail;serviciolocal25@hotmail.com;;;;;(2345) 462149;(2345) 49807;;;;;;;;;;;;;;;;;
4;Servicio Zonal de Niñez;Niñez y Adolescencia;Oficinas Gubernamentales;Mercedes;-34.648.091;-59.444.455;Calle 26;;;;;Calle 51;;;;Esteban Leonardo  Grassi;;;;;;;;;;;;;;;Mail;szmercedes@yahoo.com.ar;;;;;(2324) 428886;(2324) 428988;;;;;;;;;;08:00-16:00;08:00-16:00;08:00-16:00;08:00-16:00;08:00-16:00;;;
5;Comisaría de la Mujer;Seguridad;Comisarías de la Mujer;Veinticinco de Mayo;-3.544.586.246;-6.017.515.657;Calle 10;;;;;Calle 303;;;;Viviana  Teggi (Oficial Principal);;;;;;;;;;;;;;;;;;;;;(2345) 464993;;;;;;;;;;;;;;;;;;
6;Comisaría 2°;Seguridad;Comisarías;Veinticinco de Mayo;-35.269.225;-59.773.672;Güemes;;;;;Varas;;;;;;;;;;;;;;;;;;;;;;;;;(2343) 440113;;;;;;;;;;;;;;;;;;
9;Colegio Profesional de Trabajadores/as Sociales;Otros servicios;Trabajadores/as Sociales;Mercedes;-34.655.538;-59.428.612;Calle 19;314;;;;Calle 14;Calle 16;;;;;;;;;;;;;;;;;;Mail;catsmerc@infovia.com.ar;Mail;comdirectiva.catmer@gmail.com;;;(2324) 431921;;;;;;;;;;;;;;;;;;
10;Juzgado de Paz;Justicia;Juzgados;Veinticinco de Mayo;-354.288.164;-6.017.054.672;Calle 9;1217;;;;Calle 31;Calle 32;;;Rosana  Farina;;;;;;;;;;;;;;;;;;;;;(2345) 462780;(2345) 466706;;;;;;;;;;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;;;
12;Juzgado de Familia N° 1;Justicia;Juzgados;Mercedes;-34.655.735;-59.430.502;Calle 23;280;;;;;;;;Analía Inés  Sánchez (Jueza);;;;;;;;;;;;;;;;;;;;;(2324) 434692;(2324) 434688;;;;;;;;;;;;;;;;;
13;Fiscalía General;Justicia;Unidades Fiscales;Mercedes;-346.493.439;-5.943.629.422;Calle 37;;;;;;26;;;Ricardo  Uncal (Fiscal de Cámaras);;;Pablo A  Merola (Fiscal General);;;;;;;;;;;;;;;;;;(2324) 422375;(2324) 425010;;;;;;;;;;;;;;;;;
